"","Name","Gender","Total"
"1","Emma","F",39829
"2","Olivia","F",38884
"3","Sophia","F",33451
"4","Ava","F",32577
"5","Isabella","F",30296
"6","Mia","F",29237
"7","Abigail","F",24070
"8","Emily","F",22692
"9","Charlotte","F",24411
"10","Harper","F",21016
"11","Madison","F",19054
"12","Amelia","F",20540
"13","Elizabeth","F",19196
"14","Sofia","F",18815
"15","Evelyn","F",19412
"16","Avery","F",18063
"17","Chloe","F",15317
"18","Ella","F",15748
"19","Grace","F",15161
"20","Victoria","F",14867
"21","Aubrey","F",13883
"22","Scarlett","F",14801
"23","Zoey","F",13341
"24","Addison","F",13001
"25","Lily","F",13202
"26","Lillian","F",12930
"27","Natalie","F",12646
"28","Hannah","F",12374
"29","Aria","F",13296
"30","Layla","F",12548
"31","Brooklyn","F",12213
"32","Alexa","F",10809
"33","Zoe","F",11738
"34","Penelope","F",12303
"35","Riley","F",12830
"36","Leah","F",10986
"37","Audrey","F",10930
"38","Savannah","F",10773
"39","Allison","F",10104
"40","Samantha","F",10255
"41","Nora","F",10875
"42","Camila","F",11307
"43","Skylar","F",10370
"44","Anna","F",9868
"45","Paisley","F",9908
"46","Ariana","F",9521
"47","Ellie","F",9900
"48","Aaliyah","F",9461
"49","Claire","F",10013
"50","Violet","F",9642
"51","Stella","F",9698
"52","Sadie","F",9005
"53","Mila","F",9526
"54","Gabriella","F",8821
"55","Lucy","F",9106
"56","Arianna","F",8388
"57","Kennedy","F",8825
"58","Sarah","F",8885
"59","Madelyn","F",8686
"60","Eleanor","F",9524
"61","Kaylee","F",8176
"62","Caroline","F",8732
"63","Hazel","F",8922
"64","Hailey","F",8154
"65","Genesis","F",8482
"66","Kylie","F",7545
"67","Piper","F",8048
"68","Maya","F",8170
"69","Autumn","F",8098
"70","Nevaeh","F",7735
"71","Serenity","F",7755
"72","Peyton","F",7377
"73","Mackenzie","F",7240
"74","Bella","F",7419
"75","Eva","F",7533
"76","Naomi","F",7522
"77","Taylor","F",7002
"78","Aurora","F",7595
"79","Aubree","F",7012
"80","Lydia","F",7081
"81","Melanie","F",6963
"82","Brianna","F",6540
"83","Ruby","F",7250
"84","Katherine","F",6701
"85","Ashley","F",6443
"86","Alice","F",7081
"87","Alexis","F",6068
"88","Cora","F",6747
"89","Julia","F",6679
"90","Madeline","F",6584
"91","Faith","F",6340
"92","Annabelle","F",6236
"93","Alyssa","F",5904
"94","Isabelle","F",6221
"95","Vivian","F",6321
"96","Gianna","F",6379
"97","Quinn","F",6725
"98","Clara","F",6113
"99","Reagan","F",6128
"100","Alexandra","F",5829
"101","Khloe","F",5513
"102","Eliana","F",6158
"103","Hadley","F",5841
"104","Sophie","F",5782
"105","London","F",5248
"106","Elena","F",6054
"107","Kimberly","F",5157
"108","Bailey","F",5522
"109","Maria","F",5607
"110","Luna","F",6441
"111","Jasmine","F",5418
"112","Willow","F",5879
"113","Kinsley","F",6124
"114","Valentina","F",5653
"115","Kayla","F",5186
"116","Delilah","F",5436
"117","Andrea","F",5175
"118","Natalia","F",5505
"119","Lauren","F",4997
"120","Morgan","F",4999
"121","Rylee","F",5625
"122","Sydney","F",4962
"123","Mary","F",5107
"124","Adalynn","F",5199
"125","Ximena","F",5271
"126","Jade","F",5244
"127","Liliana","F",5180
"128","Brielle","F",5181
"129","Trinity","F",4718
"130","Ivy","F",5295
"131","Josephine","F",5261
"132","Adalyn","F",4628
"133","Jocelyn","F",4535
"134","Emery","F",4825
"135","Adeline","F",6506
"136","Jordyn","F",4460
"137","Ariel","F",4516
"138","Everly","F",5197
"139","Lilly","F",4429
"140","Paige","F",4328
"141","Isla","F",4774
"142","Lyla","F",4475
"143","Molly","F",4226
"144","Makayla","F",4166
"145","Emilia","F",5234
"146","Mya","F",4098
"147","Kendall","F",3885
"148","Melody","F",4301
"149","Isabel","F",4256
"150","Brooke","F",4002
"151","Mckenzie","F",4106
"152","Nicole","F",4049
"153","Payton","F",3899
"154","Margaret","F",4305
"155","Mariah","F",4002
"156","Eden","F",4128
"157","Athena","F",4208
"158","Amy","F",3865
"159","Norah","F",4042
"160","Londyn","F",3829
"161","Valeria","F",4008
"162","Sara","F",3995
"163","Aliyah","F",3957
"164","Angelina","F",3806
"165","Gracie","F",3745
"166","Rose","F",3954
"167","Rachel","F",3776
"168","Juliana","F",3845
"169","Laila","F",3821
"170","Brooklynn","F",3531
"171","Valerie","F",3826
"172","Alina","F",3669
"173","Reese","F",3668
"174","Elise","F",3746
"175","Eliza","F",3679
"176","Alaina","F",3577
"177","Catherine","F",3459
"178","Raelynn","F",3768
"179","Leilani","F",3753
"180","Emerson","F",3736
"181","Cecilia","F",3590
"182","Genevieve","F",3494
"183","Daisy","F",3480
"184","Harmony","F",3448
"185","Vanessa","F",3380
"186","Adriana","F",3212
"187","Presley","F",3315
"188","Rebecca","F",3281
"189","Destiny","F",3285
"190","Hayden","F",3277
"191","Julianna","F",3303
"192","Michelle","F",3258
"193","Summer","F",3268
"194","Adelyn","F",3336
"195","Callie","F",3208
"196","Arabella","F",3397
"197","Kaitlyn","F",2650
"198","Ryleigh","F",3532
"199","Lila","F",3199
"200","Daniela","F",3304
"201","Arya","F",3529
"202","Alana","F",3180
"203","Esther","F",3403
